period,min_date,max_date,nobs,constant,DRGNP_{t+1},DCX_NS_{t+1},tstat_constant,tstat_DRGNP_{t+1},tstat_DCX_NS_{t+1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,1953-01-31,2019-12-31,67,0.000340652878114674,2.72768352355085,7.77811396808066,0.00970312057567096,2.72430338797462,2.07313853198321,0.342855885815214,0.311563308949272,0.137849522237097,0.0662914937031498,-0.148754954505788,0.207526914304622,0.236820735812421,-0.108714577920558
2,1953-01-31,1999-12-31,47,-0.0588925413751442,4.02765772461562,3.57431581668846,-1.23136620927918,3.14418203647297,0.715328431721608,0.370499104527839,0.326580437401874,0.139581010008552,0.113437284262193,-0.232515620863995,0.158666412415262,0.254233090762404,-0.106320404894077
3,2000-01-31,2019-12-31,20,0.0669020138307831,1.57101490466776,12.5811521714696,1.31818680645178,0.855922302324006,2.29162154225713,0.413998664485017,0.304123414075958,0.129811457391994,-0.0627039684382308,0.0592082647224393,0.276755735815194,0.144486748675976,-0.0969454807129299
4,1953-01-31,2007-07-31,54,-0.0515316556314942,3.7771743484174,4.83896024877019,-1.20966220695509,3.26417022984582,1.14137117021548,0.370868094199629,0.333120179851607,0.134944882986867,0.100913332744669,-0.225350366971407,0.129800336985792,0.21929493249116,-0.158500778303596
5,1953-01-31,1977-12-31,25,-0.129690690831009,4.96596858194887,4.54163077998636,-1.95399549139911,2.94102973394479,0.702785655420172,0.54215846115347,0.476752527032538,0.136506742603822,0.289954133147888,0.099315115926103,0.200133751171697,0.321017250206929,-0.193020089841244
6,1954-01-31,1976-12-31,23,-0.0826334758857665,3.44857064923428,9.24974322934641,-1.17355569247999,1.84097746341816,1.34412005433346,0.533363613776273,0.459684184372526,0.133499931446021,0.0842664733643199,-0.0438247573977445,0.191477716346653,0.185987508495385,-0.338988930223699
7,1954-01-31,1977-12-31,24,-0.0897654420486213,3.56101097909858,8.78531479339508,-1.31361195168275,1.94041381643548,1.30484423406477,0.528229742362314,0.457464203716661,0.131448613725428,0.126750998993791,-0.034592778345796,0.139720846561539,0.216442777110207,-0.306184629517868
