period,min_date,max_date,nobs,constant,BG,DPR,DPR+12,t_stat_constant,t_stat_BG,t_stat_DPR,t_stat_DPR+12,R_sq,R_sq_adj,s(eta),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12,current_time
1,1953-01-31,2019-12-31,67,0.0453240952083713,-0.036401826118565,-0.116904747167025,-0.167841585646089,9.4821120615892,-1.48741801456361,-1.65157500175267,-2.50057094218407,0.143033125691655,0.0877449402524072,0.0266674992193552,0.814192666312495,0.685186341593065,0.616122758869979,NaN,NaN,NaN,31-Dec-2023 16:41:06
2,1953-01-31,1999-12-31,47,0.04461581891737,0.27777501922988,-0.272288358191901,-0.251668446355936,6.42399224155983,2.97015134497511,-3.98326476314316,-3.77943149478064,0.491449867589892,0.443016521646072,0.0229256389080779,0.653625962915268,0.452081719595029,0.447097623054503,NaN,NaN,NaN,31-Dec-2023 16:41:06
3,2000-01-31,2019-12-31,20,0.0211579445677352,-0.00612901670375282,0.104146696547225,-0.0245986997803967,7.93535721206499,-0.547447928107587,1.5136159911992,-0.448072533044872,0.285642242962416,0.0951468410857274,0.00930174168066258,0.0238331439139703,0.511735760038125,-0.0780705449948452,NaN,NaN,NaN,31-Dec-2023 16:41:06
4,1953-01-31,2007-07-31,54,0.0394785986122613,0.265304865344536,-0.225276692704174,-0.220412745995069,6.05897842011984,2.87629066142454,-3.32358790940606,-3.52953210972434,0.397408890735475,0.348217779775105,0.023537030088732,0.694086065698206,0.563866956756168,0.492247616821279,NaN,NaN,NaN,31-Dec-2023 16:41:06
5,2007-07-31,2019-12-31,13,0.0170803784420228,-0.00771307733333932,0.0371434668412986,0.118216392655426,6.1188292207478,-0.753368379396992,0.536130593994901,1.59822109116281,0.395143908329348,0.0927158624940226,0.00790471619562308,-0.188143460570298,0.252040854081754,-0.240948668531068,NaN,NaN,NaN,31-Dec-2023 16:41:06
6,1953-01-31,1977-12-31,25,0.0289677594486407,0.625424558572938,-0.282739856919383,-0.124419730866415,5.34818010615872,8.07806749787834,-6.00411361576545,-2.57779624291543,0.844144096767497,0.812972916120996,0.0130548717368221,0.543169484819341,0.366455844531684,0.438921474958962,NaN,NaN,NaN,31-Dec-2023 16:41:06
7,1954-01-31,1976-12-31,23,0.0292348066633263,0.609030822614542,-0.284271093394154,-0.126044659820546,5.06868815600396,6.72505045974549,-5.82724267310929,-2.44233544336623,0.812799770463345,0.771199719455199,0.0135120946586979,0.529862594882526,0.373310878969534,0.492790320738724,NaN,NaN,NaN,31-Dec-2023 16:41:06
