period,min_date,max_date,nobs,constant,DPR_t,DPR_{t+12},BG_t,UIMD_t,tstat_constant,tstat_DPR_t,tstat_DPR_{t+12},tstat_BG_t,tstat_UIMD_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12
1,1953-01-31,2019-12-31,804,-0.176126857168148,-0.00311659154105307,0.179345300729849,-0.197244273980779,-0.47121643654879,-6.09584016103074,-0.018103867806944,6.36156661323056,-2.58529080076475,-0.948787481337967,0.059278124296272,0.0533838769547699,0.0414790969341167,0.0106885828153571,-0.0794035426208285,-0.0183444079188371,-0.00800519482183474,-0.0122493582809206,0.0543582866303967
2,1953-01-31,1999-12-31,564,-0.184331900103566,-0.0442925577005568,0.186275276676643,-0.15091393958828,-2.00953993913361,-5.36674034027708,-0.235458121340162,5.61527308598639,-0.8514545488379,-2.89365654859993,0.0686231865326246,0.060277516161053,0.0413463236922417,0.00665618381801563,-0.0782772117119207,-0.0376004399363835,-0.0225458342756008,-0.0601860324592176,0.0649072391419536
3,2000-01-31,2019-12-31,240,-0.178378741431432,0.407941123347563,0.182924915973412,-0.108960797924288,2.34556586456092,-2.91047177601243,0.95626596786277,2.99073878735691,-1.22077262229094,2.34652383073155,0.0912782811720804,0.071861150427894,0.0409315366965145,0.000685770063098402,-0.123267792581566,0.00572057512548723,0.00275080762243207,0.0787196201676356,0.0466900435165154
4,1953-01-31,2007-07-31,655,-0.195499166085488,-0.011339054903499,0.196229324509751,-0.0704025824625867,-1.40385163611234,-5.86790266546298,-0.0616103207073424,6.07655722363826,-0.419242158038898,-2.29484079221082,0.0623142545647918,0.0550901733210691,0.0414385431089188,0.0123444111940289,-0.0798609692890235,-0.0295976613091115,-0.0221600898598531,-0.0443706029486648,0.0462882479196675
5,1953-01-31,1977-12-31,300,-0.188956032407838,0.0108135848623543,0.187140169869401,-0.214809681778875,-2.57913917349466,-5.0925044695127,0.0536932186424835,5.25464291235712,-0.891792198467864,-2.46570134545715,0.106459666313715,0.0912634021353766,0.0388165911054896,-0.00117202289638132,-0.0806183581897275,0.0162088634271019,0.0467368996471379,-0.0551206624583821,0.0914658907805111
6,1954-01-31,1976-12-31,276,-0.19745764948759,0.0840992462482863,0.195436251035771,-0.276581964043425,-2.22108884135691,-4.89793398574166,0.389304826541394,5.06897703321676,-1.07229884057878,-1.95824686099479,0.106835939133792,0.0902958639325664,0.039722351381137,0.00504348898978783,-0.0905516796037259,0.00796839581204999,0.0485421927205816,-0.0575305960313974,0.09143535053001
7,1954-01-31,1977-12-31,288,-0.197862392630655,0.0527534151735683,0.195177767362428,-0.233880209448757,-2.48991826646521,-4.96649018847494,0.249358554124734,5.12469185783256,-0.939172644300056,-2.27754431946102,0.106030996512259,0.0901804822660227,0.0393357066614706,-0.000494417880789453,-0.0857843908619095,0.0132691984591873,0.0414938013102156,-0.0589804528593684,0.0874695573531813
