period,min_date,max_date,nobs,constant,DRGNP_{t+1},tstat_constant,tstat_DRGNP_{t+1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,1953-01-31,2019-12-31,67,-0.0437872552570855,4.39865678389146,-1.48278326809349,5.60805515931542,0.326077661975907,0.305017588912655,0.142753727590564,0.119492023695432,-0.109190130884569,0.212689218973502,0.266196985564214,-0.11798668086236
2,1953-01-31,1999-12-31,47,-0.0746607941363588,4.94181284609009,-1.89949182628832,5.17377865233078,0.372979474631604,0.344478541660313,0.144103491719489,0.14429832791307,-0.170501855544203,0.197160762068603,0.301610331133698,-0.0748756414632263
3,2000-01-31,2019-12-31,20,-0.0044540057356261,3.84231524860666,-0.0974226462704347,2.33089986655125,0.231855603204835,0.14148567417011,0.141134688903037,0.0403269766907572,-0.0343364497879732,0.220710560706194,0.143201175931159,-0.256096056706229
4,1953-01-31,2007-07-31,54,-0.0779235601337445,4.95450662989914,-2.17842317427277,5.48407446721664,0.366433702096091,0.341587964923389,0.140562077524723,0.168747443962374,-0.155201086431874,0.151265246971643,0.239337534234342,-0.142467301280841
5,1953-01-31,1977-12-31,25,-0.165267590697663,6.17960233351171,-3.10477398449474,5.22790198792407,0.543024802870649,0.501481603131618,0.139861206842625,0.259798414816142,0.10748645155202,0.186247499025023,0.468304353288088,-0.11890702918274
6,1954-01-31,1976-12-31,23,-0.153408834796377,5.75929860045043,-2.79869261194749,4.61452905503353,0.503474242737578,0.453821667011335,0.141418116012922,0.112161686826578,0.0082006855817015,0.170359252727628,0.488398141529963,-0.230669393407124
7,1954-01-31,1977-12-31,24,-0.156468136621306,5.77037770599946,-2.9319516778465,4.71148131243964,0.502240552805787,0.454834891168243,0.138802703237068,0.134644707272536,0.008936724524744,0.152635368356436,0.47949197081666,-0.215242658712225
