period,min_date,max_date,nobs,constant,BG,DPR,DPR+12,t_stat_constant,t_stat_BG,t_stat_DPR,t_stat_DPR+12,R_sq,R_sq_adj,s(eta),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12,current_time
1,1953-01-31,2019-12-31,268,0.062482654659678,-0.00595123918819854,-0.00635378903707321,-0.0399996072451806,4.2692976485641,-1.5971414011628,-0.678495624251734,-4.42220390360604,0.0795816739525071,0.0655829161418988,0.00773684270778058,0.596383031121566,0.566952293859662,0.614390859993393,0.532156652487054,0.430605219222885,0.406893004490594,31-Dec-2023 16:43:12
2,1953-01-31,1999-12-31,188,0.0238377119578718,0.0934025401224425,-0.04013098837729,-0.0682379807544801,1.18093448912163,6.82635485300389,-4.70954906728087,-7.73020032282458,0.422114459613202,0.40948308168125,0.00623947005407906,0.586321550629482,0.529885173313534,0.589023072931626,0.45687351057171,0.236244273545094,0.28417897566369,31-Dec-2023 16:43:12
3,2000-01-31,2019-12-31,80,-0.00725456959420529,-0.00743682955318536,0.0128162822268202,0.00778702086487816,-0.272279165687368,-1.80602745664036,0.589729431575784,0.43307142922254,0.0908809888025598,0.0423946415386964,0.00645690428368155,-0.0731405823004007,-0.140975949426516,-0.0376167843729892,-0.0726511747157184,0.124916607547525,0.160816645701045,31-Dec-2023 16:43:12
4,1953-01-31,2007-07-31,218,0.0125605461863342,0.0847142451521781,-0.0298990449722253,-0.0594476900616237,0.623331211409317,6.16071610355986,-3.42007927957676,-6.67887608380676,0.315334102631804,0.302476527094373,0.00659946020308282,0.530921585155006,0.541208663107531,0.591678767322606,0.468166174865468,0.326255822848224,0.34270678189088,31-Dec-2023 16:43:12
5,2007-07-31,2019-12-31,50,0.00323092246751173,-0.00736249235852049,0.00399113503864275,0.00554110683120501,0.103785689834398,-1.52619128878377,0.150519969409643,0.246771646623868,0.0918964703698342,0.0111761566249305,0.00695337338832443,0.0623573949837937,-0.245925987086285,-0.171708783306002,-0.109261719228952,-0.0748284329478087,0.0973475775926868,31-Dec-2023 16:43:12
6,1953-01-31,1977-12-31,100,-0.0585459013685881,0.152590233719352,-0.0422404223440997,-0.0451989474164855,-3.28582190680941,11.5362055621486,-6.12535774768302,-6.3036825375064,0.682932970383793,0.669582779663111,0.00431447882819031,0.322486033190241,0.404914268703062,0.27913104440156,0.258775895902147,-0.0234897197624703,0.0942827547839126,31-Dec-2023 16:43:12
7,1954-01-31,1976-12-31,92,-0.0426973681061991,0.142663054584889,-0.0437114662685787,-0.0490439484938995,-2.16432691437649,9.93343311601717,-6.03990144759376,-6.43678024499245,0.680204355176289,0.665501107138417,0.00437871361918375,0.289318039359004,0.385334004580628,0.235653537498384,0.231073660655524,-0.0481144805666957,0.115762367580754,31-Dec-2023 16:43:12
