min_date,max_date,X_t,Y_t+tau,tau=-1,tau=0,tau=+1
31-Jan-1953,31-Dec-1977,BG,DPR,0.174785695584124,0.142086519409643,-0.302082746557668
31-Jan-1953,31-Dec-1977,BG,DCX/NS,-0.00417185579026005,-0.152983479979907,0.0285265453017236
31-Jan-1953,31-Dec-1977,BG,DROC,0.0613445070647516,-0.235465011105362,-0.326814048874373
31-Jan-1954,31-Dec-1976,I,DRGNP,0.131947199036196,-0.394731900443317,-0.235501994150436
31-Jan-1954,31-Dec-1976,I,DPR,0.0127001736337098,-0.490894969604725,-0.325437744832695
31-Jan-1954,31-Dec-1976,I,DCX/NS,-0.293106947995599,-0.104468037223389,-0.187471310969041
31-Jan-1954,31-Dec-1976,I,DROC,-0.262845563363159,-0.372518708150883,-0.169153380465005
31-Jan-1954,31-Dec-1976,EITB,DRGNP,-0.142495351390671,-0.39658078388945,0.189016091118352
31-Jan-1954,31-Dec-1976,EITB,DPR,-0.258111876195991,-0.508640313097866,0.110591070905856
31-Jan-1954,31-Dec-1976,EITB,DCX/NS,-0.272165761040277,-0.0193297379255613,-0.329242823068918
31-Jan-1954,31-Dec-1976,EITB,DROC,-0.49338309376287,-0.336502528764486,0.0740554315076993
31-Jan-1954,31-Dec-1976,BG,DRGNP,0.254927832269175,0.259362404874482,0.0520550561613145
31-Jan-1954,31-Dec-1976,BG,DPR,0.0586382685062578,0.113270741276109,-0.16743798919229
31-Jan-1954,31-Dec-1976,BG,DCX/NS,0.00984596048375459,-0.170573934722736,-0.181878029659524
31-Jan-1954,31-Dec-1976,BG,DROC,-0.139477217514121,0.0238815062074873,-0.223141631030577
