period,min_date,max_date,nobs,constant,DPR_t,DPR_{t+1},tstat_constant,tstat_DPR_t,tstat_DPR_{t+1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,31-Jan-1953,31-Dec-2019,804,0.00525148003499002,-0.0347797136912582,0.730767889694128,3.38296862433072,-0.187303246041525,3.93509725338919,0.0214192494126585,0.0177495715979559,0.0422526679604078,0.0456330879190228,-0.0354419241004281,0.00713337021927369,0.014691684649039,0.0581455863655095
2,31-Jan-1953,31-Dec-1999,564,0.00649130432852501,-0.130384294824478,0.578803011876131,3.41721222972546,-0.626323072081046,2.78016857893138,0.0140857999224216,0.00880411670772041,0.0424637381866484,0.0629745796268055,-0.0224927431395637,0.000954043776163379,0.0119636592223994,0.063745580598276
3,31-Jan-2000,31-Dec-2019,240,0.00341235066750423,0.483093071607965,1.46521820533177,1.27286538999329,1.14305510059851,3.46613297080644,0.0637219587615026,0.0518201192542335,0.0413718339362474,-0.0337934327259602,-0.106813974579521,-0.00944560752508059,0.0117840218876683,0.0595796641000738
4,31-Jan-1953,31-Jul-2007,655,0.00538061498797222,-0.0509053792094009,0.564982519090034,3.06327010453859,-0.252523538273413,2.80243201219258,0.0131053335450434,0.00855743185631086,0.0424467166826499,0.0584700475041923,-0.0313588906498403,0.00122167221882658,0.00371172992164387,0.0668715604521298
5,31-Jul-2007,31-Dec-2019,150,0.00644061879926151,0.215603741076174,1.85890717206034,1.9389699207355,0.446153093487649,3.84733084831609,0.107571818902706,0.089234253537693,0.0406817247319439,-0.0889931173236246,-0.0927333740361501,-0.0117669497713277,0.0301216996379365,0.0217923826679112
6,31-Jan-1953,31-Dec-1977,300,0.00377298891355312,-0.11847067164802,0.606238981080433,1.53678661269166,-0.513014317305701,2.6251956344497,0.0242848921119727,0.0143958876401346,0.0404254264867506,0.0876206982156437,0.00138522351990304,0.0795209261955785,0.0988027821848314,0.0567555900447869
7,31-Jan-1954,31-Dec-1976,276,0.00392893791797481,-0.0730168206067984,0.697528308617905,1.48979640434159,-0.299232266415092,2.86482380553126,0.0326564662223889,0.0219872360704301,0.0411872710128608,0.0956367084953975,-0.00534421913225909,0.0681662740806612,0.095611363992441,0.0500513318791248
8,31-Jan-1954,31-Dec-1977,288,0.00354917589394323,-0.0890131491616278,0.657231913931899,1.38259811190526,-0.371315748533397,2.74179244292041,0.0281783065215517,0.0179125844073427,0.0408686045121452,0.0873797772641318,-0.00121962906482375,0.0709114493828694,0.0911688975466399,0.0555937672392733
