period,min_date,max_date,nobs,constant,DPR_{t+12},EITB_{t-1},UITB_t,tstat_constant,tstat_DPR_{t+12},tstat_EITB_{t-1},tstat_UITB_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12
1,1953-01-31,2019-12-31,268,-0.456528538614638,0.471556840873192,-0.892447668347292,-0.860160361483321,-6.0979993531202,6.60470513284832,-1.56807000156631,-0.775527125628742,0.181774594761733,0.169330101906398,0.0579402554663705,0.235160549099699,-0.114284203269256,-0.0726043394455328,0.0226362701451074,0.0156677366334241,0.0715311201044385
2,1953-01-31,1999-12-31,188,-0.440520672294825,0.457592906066877,-1.08502224877875,-5.53936365805543,-4.5176039732968,5.03278087277148,-1.69136776990601,-3.29305277202996,0.252009388237386,0.235659866668804,0.0562476453124097,0.185750534602471,-0.132236833081669,-0.0735682581213744,0.0721196327362696,0.104139131549206,0.0684073233519363
3,2000-01-31,2019-12-31,80,-0.473558293527111,0.485792257937021,-0.207914684468056,2.80826071012004,-3.19615084310446,3.32816247156713,-0.0622666776943948,2.2042880693173,0.167505321283252,0.123105605085026,0.0572047562547624,0.260032836616113,0.0488556781919777,-0.000278317348528053,-0.00208070543331275,-0.0705643071922891,0.0786312271900357
4,1953-01-31,2007-07-31,218,-0.4931132843481,0.503114547529091,-0.696644042510775,-4.55653653681277,-5.45069326712939,5.92165282370222,-1.1253507924917,-3.44137744037433,0.24268571817032,0.228463853722815,0.0560467068211213,0.209618787094795,-0.0928875757466053,-0.0484170646892382,0.0621361729546855,0.0897109324248139,0.0579727324463828
5,1953-01-31,1977-12-31,100,-0.375693147279255,0.401393534051883,-3.18081675792806,-3.71600578194972,-3.59371082080314,4.15056119027943,-3.69177221798531,-1.48314762695758,0.381778432991846,0.355748051223082,0.0528108870714683,0.209499721832569,-0.214700220076018,-0.229887183733359,0.0803376581824715,0.0456425683196492,0.0865543441154309
6,1954-01-31,1976-12-31,92,-0.391888115174964,0.415750834325427,-2.91184210854017,-4.26209168658821,-3.26325459981081,3.76480085403047,-3.0339362938072,-1.52639624600057,0.37490462989942,0.346164612883302,0.0543325506289046,0.213152371573395,-0.235728936097655,-0.239141191474354,0.0749695170751417,0.0786345016329992,0.109785158465055
7,1954-01-31,1977-12-31,96,-0.362859851882739,0.389353406371492,-3.21952104430181,-3.91522429808095,-3.11413348287013,3.63262124965575,-3.51095965105166,-1.43119125363101,0.374056378645898,0.346542373311652,0.0538003606963854,0.207137745894991,-0.210990034494942,-0.226840235323883,0.0730261116513293,0.0472402928016473,0.0832913963920531
