period,min_date,max_date,nobs,constant,EIMD_t,UIMD_t,tstat_constant,tstat_EIMD_t,tstat_UIMD_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4
1,1953-01-31,2019-12-31,67,0.361186914005504,-7.9822145793753,-1.11338667333396,5.060909434923,-3.94349748092547,-1.44983749243135,0.216197294053528,0.178873355675125,0.155150293690489,-0.0656080582851779,-0.1545888332196,0.18284790415391,0.126154552353232
2,1953-01-31,1999-12-31,47,0.277892651198642,-4.53845667363513,-0.812963038013863,5.61054790546763,-4.1063447389735,-0.730775343867759,0.283342098248278,0.233342709753971,0.155800730951839,-0.0865250157799144,-0.14502663059696,0.274796548122977,0.252674909296952
3,2000-01-31,2019-12-31,20,-0.200641610857503,13.4632815481429,-0.13924633107419,-1.50885803500941,2.12133637242554,-0.0343745686917988,0.209348279581366,0.0611010820028721,0.147338667821397,-0.0749679238977345,-0.19424525417273,0.271187008923497,0.259620792677566
4,1953-01-31,2007-07-31,54,0.287707156688026,-5.23168025703039,-0.489211757663609,5.84992271544971,-4.47207439959498,-0.504757079773112,0.284253010496408,0.241308191126193,0.150858047543151,-0.0625611339362611,-0.109430348464288,0.193431248419877,0.229107415616407
5,1953-01-31,1977-12-31,25,0.277092657039537,-5.54458877162396,1.45221624505674,5.7073948842714,-5.20486677016276,0.58157562016485,0.554915967977276,0.491332534831172,0.141131689775585,-0.21609006069569,-0.219293314701524,0.166679023741023,0.329390730002443
6,1954-01-31,1976-12-31,23,0.268730714223169,-5.68861034835533,1.15503786062092,5.02260516564596,-4.68327376057307,0.451895396345233,0.525360719177917,0.450417674837588,0.141680683782813,-0.204545223228229,-0.241459601867557,0.146506614963936,0.362647594386364
7,1954-01-31,1977-12-31,24,0.256108411995102,-5.14430477265612,1.25257007848889,4.85629255391545,-4.5375494008221,0.494722775275922,0.498017230080915,0.422719814593053,0.142670527477714,-0.242858451901656,-0.256954324925073,0.190899342582241,0.326790185075751
