period,min_date,max_date,nobs,constant,DPR_t,DPR_{t-1},tstat_constant,tstat_DPR_t,tstat_DPR_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,1953-01-31,2019-12-31,804,-0.000271182246936868,0.0599844284411235,0.0743067753426606,-2.10504851536918,3.89326727195814,4.82087346499648,0.0717462843952703,0.0682653329617525,0.00350555704678691,-0.0789930423560998,-0.0613561525645867,0.033544087555659,-0.0116696179989502,-0.0121425270343483
2,1953-01-31,1999-12-31,564,-0.000282728458047929,0.0794756667859651,0.0490989081204565,-1.88823038465073,4.84428907688377,2.99234912095315,0.0856099375561724,0.0807114193645091,0.00334643602259376,-0.101184238276846,-0.0691160266172035,0.0577217440001822,-0.00847151506290475,-0.000946131800713673
3,2000-01-31,2019-12-31,240,-0.000224689022645109,-0.00720656064450502,0.179138312935895,-0.914534591978698,-0.186045922120855,4.61825875149848,0.0857464027839604,0.0741245350227396,0.00379082646663695,-0.030378769438651,-0.0662817269846842,0.0184905653860365,-0.0573673324242108,-0.030785025206422
4,1953-01-31,2007-07-31,655,-0.000247698707980957,0.082536849483262,0.048752358173996,-1.77098701286122,5.14259925507122,3.03758720783608,0.0791468968614205,0.074903334174146,0.00337949316461644,-0.0952473946188207,-0.0654786975546002,0.067831994702209,-0.00990810735665129,-0.000145236577213567
5,2007-07-31,2019-12-31,150,-0.000341587874125537,-0.0742638690099734,0.22492658778253,-1.09688966097976,-1.63822114397216,4.95457274725746,0.143163491329701,0.12555726169949,0.00381397381389828,0.0159058169972545,-0.0462740141698309,-0.00622366603792716,-0.088588944245584,-0.0380351453224951
6,1953-01-31,1977-12-31,300,-0.000297357452916878,0.0755054727719645,0.0502326279255876,-1.237012356593,3.33739695076097,2.21108935710875,0.0860442165078139,0.0767811511345823,0.00395405425317456,-0.104862679230025,-0.0669122577357017,0.134939374751381,-0.0148466234490175,-0.00274254079612038
7,1954-01-31,1976-12-31,276,-0.00026086900569966,0.0827919845460247,0.0453567643353324,-1.16452820774912,3.98123482616044,2.18143926903936,0.111532569952099,0.101733296826571,0.00350166216125454,-0.13007032742562,-0.0788342253408384,0.178496102822579,-0.0396150962064655,0.00251633634344602
8,1954-01-31,1977-12-31,288,-0.000275794188601449,0.0834068834081861,0.045915419065902,-1.27116008689354,4.11274877059124,2.25737769728778,0.113296213213767,0.10392962391673,0.00345292745737739,-0.132320223910505,-0.0818229008518267,0.186547931853935,-0.0395397803769464,0.00251709173511718
