period,min_date,max_date,nobs,constant,DCX_NS_{t+1},tstat_constant,tstat_DCX_NS_{t+1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,1953-01-31,2019-12-31,67,0.0922062076625727,15.1351936356317,5.09542061582568,4.96468184555029,0.274942527761326,0.252284481753867,0.148070569845712,-0.0444284345572069,-0.209267180902101,0.243858480637142,0.171994171872628,-0.147712523104121
2,1953-01-31,1999-12-31,47,0.0914361728222494,15.419352310677,3.93910349947276,3.75572268387841,0.238648926474966,0.204042059496555,0.158791081854206,-0.0322649941359877,-0.261487728527212,0.261155627701454,0.212321145078331,-0.134971194629169
3,2000-01-31,2019-12-31,20,0.0931373041053735,14.6837395523842,3.20566013670969,3.31077208460061,0.378479045466598,0.305358933168551,0.126952198015849,-0.0788158905462648,-0.00957722279257542,0.318580480310131,0.0491158630404736,-0.106069802590627
4,1953-01-31,2007-07-31,54,0.0863561333109309,14.983155616933,4.14785285284865,4.15949564906867,0.249654452036567,0.220229136430158,0.152968775032564,-0.0623095219477777,-0.233271842905172,0.243108944492754,0.197128026757211,-0.149888426973364
5,1953-01-31,1977-12-31,25,0.0532343401355575,19.8910585411648,1.62151908861806,3.78732039087935,0.384101172837893,0.32811037036861,0.162369945718804,0.0815356294515604,-0.206892441715611,0.324703478531209,0.331983910669158,-0.105738808101903
6,1954-01-31,1976-12-31,23,0.0413717670417901,20.5949273066266,1.35403625651974,4.37677883987117,0.477042059412199,0.424746265353419,0.145133455938434,-0.0458112242838056,-0.235893976577035,0.294937518867544,0.100203791583963,-0.236179403130855
7,1954-01-31,1977-12-31,24,0.0368514828566235,20.3960359814069,1.24140241780321,4.38321138571879,0.466181921700011,0.415342104719059,0.14374237203446,0.013331443976063,-0.216329966954965,0.220875119677784,0.158928252115853,-0.165626428295071
