period,min_date,max_date,nobs,constant,BG,DPR,DPR+12,t_stat_constant,t_stat_BG,t_stat_DPR,t_stat_DPR+12,R_sq,R_sq_adj,s(eta),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12,current_time
1,1953-01-31,2019-12-31,804,0.00317295699097065,-0.000431414016710289,-0.000786559178849049,-0.0124329182851502,20.7841643212136,-0.381575043521168,-0.371631011110182,-6.13830604768606,0.0456354912827767,0.0408576964957067,0.00301361587547528,0.599236023445832,0.458323010753721,0.396269911226598,0.415419278030095,0.402646128385655,0.337170956228149,31-Dec-2023 17:38:29
2,1953-01-31,1999-12-31,564,0.00268526662817076,0.0346155000248323,-0.0127203143618455,-0.0222061621644664,11.7681614309209,10.3383028947346,-6.29934063166336,-10.7077112581327,0.320166559268136,0.315301919262899,0.00251842147438675,0.501335804531926,0.459901508553693,0.358880245566876,0.337415040392949,0.351872878291875,0.265489242829473,31-Dec-2023 17:38:29
3,2000-01-31,2019-12-31,240,0.00192770475194203,-0.00212747250505684,0.00495665608760238,0.00166341816830438,8.04915394016183,-1.47706340752176,0.911128692895557,0.382399654128998,0.0285102915145798,0.0119742964765301,0.00287377985782711,0.404566865444308,-0.0424506640537194,-0.10848424590606,-0.0142691878217722,-0.100177878414242,-0.144504665558614,31-Dec-2023 17:38:29
4,1953-01-31,2007-07-31,655,0.00244967069457037,0.0310227175160421,-0.00944698181360744,-0.019956499509623,10.8861372525658,9.19048387847945,-4.57120332254574,-9.44354672189958,0.235036179433547,0.230328709768523,0.00265522850650255,0.50264702415403,0.383421122986475,0.324750740161011,0.34760974672051,0.331859307385545,0.256023415870878,31-Dec-2023 17:38:29
5,2007-07-31,2019-12-31,150,0.00174521114625673,-0.00232838452887415,0.000870520756983368,0.0017762519626085,5.64830178546561,-1.47831932220042,0.140410037116099,0.360386706137176,0.0270910350884448,0.000252167090884603,0.002924248822068,0.492934793339455,0.11810775939124,-0.0563169412855572,-0.0559206093719202,-0.0901637032788528,-0.133700780979029,31-Dec-2023 17:38:29
6,1953-01-31,1977-12-31,300,0.00201644754505502,0.0527593746949438,-0.0134610658289188,-0.0146795001642564,8.89107717002287,13.196609390615,-6.65711168530489,-7.08921213285176,0.466507728178813,0.459273934662593,0.00215756762106587,0.155944566141624,0.285432534651428,0.08526776243501,0.150634682855163,0.0993475773828453,0.0449176393249435,31-Dec-2023 17:38:29
7,1954-01-31,1976-12-31,276,0.00226284490926987,0.0485257937959017,-0.0134522628066908,-0.0170181306344291,9.43852016887805,11.6499852410706,-6.56982054595888,-7.8364656475464,0.482593039249249,0.474956036138537,0.00212628304436857,0.13439474596769,0.269249956941154,0.0665561161623625,0.105073467481151,0.0388803838776396,0.0472458569448212,31-Dec-2023 17:38:29
