min_date,max_date,X_t,Y_t+tau,tau=-1,tau=0,tau=+1
1953-01-31,2019-12-31,I,DRGNP,-0.0040093240861197,-0.0207650096800253,-0.0706436453742062
1953-01-31,2019-12-31,I,DPR,0.04664901863331,-0.0823882200067692,-0.124296536341187
1953-01-31,2019-12-31,I,DCX/NS,0.0614630733143295,0.0486371443903715,-0.0625926292025735
1953-01-31,2019-12-31,I,DROC,-0.0509300796658854,0.0500477434614906,-0.105689987459812
1953-01-31,2019-12-31,EITB,DRGNP,-0.021628753524208,-0.126921039473551,-0.174389918231136
1953-01-31,2019-12-31,EITB,DPR,-0.06725943787853,-0.153874406586652,-0.188154787046007
1953-01-31,2019-12-31,EITB,DCX/NS,0.0325484234250182,-0.0333809498955743,0.0136340461073632
1953-01-31,2019-12-31,EITB,DROC,-0.00735401708623003,-0.0800011850745165,-0.159269573641084
1953-01-31,2019-12-31,BG,DRGNP,-0.032466373311451,-0.220913357177515,-0.162988593891605
1953-01-31,2019-12-31,BG,DPR,-0.186952096763819,-0.106169048385608,-0.154616940047204
1953-01-31,2019-12-31,BG,DCX/NS,0.0339179511388943,-0.179842082070427,0.110723609151342
1953-01-31,2019-12-31,BG,DROC,0.0315755394216601,-0.258685613746635,-0.0670242115084655
1953-01-31,1999-12-31,I,DRGNP,-0.0690102519657876,-0.164177868735067,-0.226242078298211
1953-01-31,1999-12-31,I,DPR,-0.0919191981201949,-0.196659529651007,-0.314626269599854
1953-01-31,1999-12-31,I,DCX/NS,0.0159138545428317,0.0234464784273755,-0.0363377040053361
1953-01-31,1999-12-31,I,DROC,-0.0622819580752846,-0.0659386386105124,-0.189848344769649
1953-01-31,1999-12-31,EITB,DRGNP,-0.140044315808433,-0.228252082215458,-0.290754154885906
1953-01-31,1999-12-31,EITB,DPR,-0.172439775474195,-0.30577830431626,-0.323414631096916
1953-01-31,1999-12-31,EITB,DCX/NS,-0.00763542602776438,-0.00254098585341189,0.00144931992899399
1953-01-31,1999-12-31,EITB,DROC,-0.102533002318622,-0.162097778850876,-0.161532442181463
1953-01-31,1999-12-31,BG,DRGNP,0.156179280351678,0.0347341505351834,0.0218357325458804
1953-01-31,1999-12-31,BG,DPR,0.0347608989173864,0.0777873453498423,0.0110200122942419
1953-01-31,1999-12-31,BG,DCX/NS,0.16841739923188,-0.593487957149562,0.390064787003255
1953-01-31,1999-12-31,BG,DROC,0.104750621748037,-0.244326649856084,0.0209258134558388
2000-01-31,2019-12-31,I,DRGNP,0.0929927282104525,0.401589905747686,0.112482297309305
2000-01-31,2019-12-31,I,DPR,0.375563610701503,0.0795401618565797,0.250053231986366
2000-01-31,2019-12-31,I,DCX/NS,0.1817901392763,0.0912251128158217,-0.219488126283265
2000-01-31,2019-12-31,I,DROC,-0.0699615618856587,0.388849818512138,0.0939272055198802
2000-01-31,2019-12-31,EITB,DRGNP,0.3324596831206,0.062591970613229,-0.0614305793717749
2000-01-31,2019-12-31,EITB,DPR,-0.00131707185656901,0.193784936631868,-0.0594615412642806
2000-01-31,2019-12-31,EITB,DCX/NS,0.113696624442954,-0.122098627436617,0.0456992725472559
2000-01-31,2019-12-31,EITB,DROC,0.170222090546712,0.153155997355927,-0.206409415720168
2000-01-31,2019-12-31,BG,DRGNP,-0.176949092428817,-0.582497741880411,-0.256258960167924
2000-01-31,2019-12-31,BG,DPR,-0.458398333105358,-0.265766199268051,-0.31072878090638
2000-01-31,2019-12-31,BG,DCX/NS,-0.0186212780515143,-0.0227361807802409,0.0157584396058697
2000-01-31,2019-12-31,BG,DROC,0.0154427578430635,-0.405328235549835,-0.14547202546864
1953-01-31,2007-07-31,I,DRGNP,-0.0491534617867502,-0.144604543703777,-0.21465747451798
1953-01-31,2007-07-31,I,DPR,-0.0583370338895776,-0.182194341624489,-0.269316305411505
1953-01-31,2007-07-31,I,DCX/NS,0.0452990570136219,0.0338327959296666,-0.0429591804505371
1953-01-31,2007-07-31,I,DROC,-0.0459235299968342,-0.0564952409429854,-0.162557000607328
1953-01-31,2007-07-31,EITB,DRGNP,-0.1175168087342,-0.215665618403669,-0.267988131808065
1953-01-31,2007-07-31,EITB,DPR,-0.153237913094225,-0.271246582883662,-0.297311832509643
1953-01-31,2007-07-31,EITB,DCX/NS,0.0125513229067832,-0.0127718192929225,0.0246358626552286
1953-01-31,2007-07-31,EITB,DROC,-0.0789053758150362,-0.148738263055995,-0.174778968119666
1953-01-31,2007-07-31,BG,DRGNP,0.147905580135165,0.0198330998466852,0.0227174290204043
1953-01-31,2007-07-31,BG,DPR,0.0186552025589908,0.0709235146593503,0.00411579948027236
1953-01-31,2007-07-31,BG,DCX/NS,0.15052774318253,-0.567796573678924,0.373378843603343
1953-01-31,2007-07-31,BG,DROC,0.0991689602434066,-0.241298042140183,0.00955191360084409
2007-07-31,2019-12-31,I,DRGNP,0.0534921071418629,0.520405391508444,0.145219262301316
2007-07-31,2019-12-31,I,DPR,0.39402476741273,0.143842522841057,0.244473818594782
2007-07-31,2019-12-31,I,DCX/NS,0.154560840264443,0.148897043436878,-0.191633062683507
2007-07-31,2019-12-31,I,DROC,-0.209655167638765,0.518477430938757,0.0424198748640413
2007-07-31,2019-12-31,EITB,DRGNP,0.367039776119925,0.116205218353465,-0.178249927548656
2007-07-31,2019-12-31,EITB,DPR,0.0500857827104957,0.122972911792005,-0.0654033208921459
2007-07-31,2019-12-31,EITB,DCX/NS,0.143440476584485,-0.141602954875322,-0.0165290826997847
2007-07-31,2019-12-31,EITB,DROC,0.271390987554196,0.134414843433085,-0.253057055544951
