period,min_date,max_date,nobs,constant,DPR_{t+12},EITB_{t-1},UITB_t,tstat_constant,tstat_DPR_{t+12},tstat_EITB_{t-1},tstat_UITB_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12
1,1953-01-31,2019-12-31,804,-0.166836164737812,0.171442233772134,-0.797993192470847,-1.9410737088125,-5.54855789416063,5.96246601398683,-1.26770500336311,-1.49688271598411,0.0576056940235748,0.0528878251576103,0.0414899960759614,0.0223080260841459,-0.0646510095670973,-0.0164616791915612,-0.00576859331076329,-0.0164524313049804,0.0479428847317341
2,1953-01-31,1999-12-31,564,-0.144153320659999,0.151406174891953,-1.48106975490293,-2.67198179178999,-3.64971458876516,4.10539953612279,-1.86776597040568,-2.39520596782897,0.0703973110836646,0.0637454134885568,0.0412700281762493,0.0117428563019479,-0.0629052326776797,-0.0453567455357591,-0.00975437163574384,-0.0577725588067798,0.0763947345920248
3,2000-01-31,2019-12-31,240,-0.214237266836471,0.211949365513137,3.40018632807148,-15.1706294560878,-3.53981601889815,3.52937537871937,2.38018198723232,-2.34754158494264,0.0704839078491257,0.05466235734443,0.0413094090070574,0.00699226297397447,-0.09725539181319,0.0373835841438096,0.0129333879101781,0.0863778113401221,0.00913226239869794
4,1953-01-31,2007-07-31,655,-0.160309018213694,0.166223091682803,-1.4464274603536,-2.00441922896568,-4.30343347917308,4.74247366434799,-1.96081720441686,-1.62577959094937,0.0663915466213608,0.0606462638313384,0.0413165826141301,0.0132527600496725,-0.0723969763664322,-0.0334623196867038,-0.0133826133817688,-0.0487952568697517,0.0455157223355697
5,1953-01-31,1977-12-31,300,-0.132569048519716,0.142486748913604,-3.70192102552636,-1.68306149168467,-3.19992866485044,3.74292196003324,-2.51507743939437,-1.52837436640126,0.117002123906322,0.10502927134912,0.0385216866487313,-0.0109174334599998,-0.0796778843074466,-0.00752728443634247,0.0439852815506551,-0.0614819877826071,0.0879431536702885
6,1954-01-31,1976-12-31,276,-0.134323326696721,0.143843479723865,-3.50845663262187,-1.60344847091874,-2.77055901182276,3.26893850923006,-2.09504209316875,-1.35883103807089,0.114645211068045,0.101577243703736,0.0394755502919504,0.00303440619970428,-0.0827761951223058,-0.0114723727019388,0.048190270795543,-0.0626819347591019,0.0989949790903479
7,1954-01-31,1977-12-31,288,-0.131050804593673,0.141040073178114,-3.72070815377335,-1.70817325085497,-2.73720536949343,3.26001037017562,-2.15100423647361,-1.51687258244804,0.114349795992628,0.101831771907718,0.0390832695104888,-0.00838542389088658,-0.0773019645567964,-0.0123851226751493,0.0428478439047207,-0.0633881664498607,0.0896540393749318
