period,min_date,max_date,nobs,constant,DPR_t,DPR_{t-1},EITB_{t-1},UITB_t,EITB_{t-2},UITB_{t-1},tstat_constant,tstat_DPR_t,tstat_DPR_{t-1},tstat_EITB_{t-1},tstat_UITB_t,tstat_EITB_{t-2},tstat_UITB_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,31-Jan-1953,31-Dec-2019,804,3.5602409752307e-05,0.0591716026341948,0.074535056430092,-0.0633548856115134,-0.00338782158492001,0.0363513240839703,-0.000581376639837258,0.141101320114066,3.81773966841336,4.80319647786051,-0.772260805954235,-0.25184945436928,0.442245363635025,-0.043028849408359,0.0746913001061192,0.0665541632980073,0.00350876358665328,-0.0825493277301907,-0.0601989122775052,0.0329979309921873,-0.0128942495533971,-0.0141556070449336
2,31-Jan-1953,31-Dec-1999,564,2.4344992710663e-06,0.0763423597099509,0.0484007531336537,-0.0656774610078435,-0.0163525885426116,0.0448475599806898,-0.00377976936520194,0.00781729566957301,4.58391859528128,2.91329581179857,-0.967420898593284,-0.993872772233922,0.656204866801844,-0.227304875105533,0.0911710918182564,0.0797290012476229,0.0033482006421247,-0.106418567754765,-0.0612542477134311,0.0588393461294912,-0.00718035765388545,-0.000636715154065449
3,31-Jan-2000,31-Dec-2019,240,0.000924066297111754,-0.0280199656487523,0.180588023814074,0.715194748546906,0.0267169918157141,-0.874177555377035,-0.00704152333994644,1.09412379552475,-0.691195433488086,4.52873238688738,1.04154831022817,1.11029634374198,-1.28010163886631,-0.289168730293371,0.104345961297895,0.0773219170267108,0.00378412706809843,-0.0579467526856234,-0.0826160010171602,0.0259686838576681,-0.0559897862194684,-0.0306621634888247
4,31-Jan-1953,31-Jul-2007,655,0.000199885216329452,0.0790167058169634,0.0471800231240998,-0.0544136334116144,-0.00245580870503125,0.0198215305615583,-0.00230654854575149,0.676546738928898,4.86359835680234,2.90772494018247,-0.759920052689015,-0.166676637984047,0.275262297858977,-0.155233665721477,0.0839803988542032,0.0740698312993028,0.00338099744769894,-0.100446944707031,-0.0654711171865797,0.0655241887627303,-0.0121875013337449,-0.00274519228909759
5,31-Jul-2007,31-Dec-2019,150,0.000811335003511719,-0.0972144813364839,0.228971195252032,0.134714295997857,0.0289679532475604,-0.330644431341385,-0.0161851156033403,0.866478817317726,-1.97124718153448,4.71375516525391,0.180128494130522,0.869674361044165,-0.462820454659186,-0.486205185485217,0.160597797352001,0.119218815531325,0.00382731914521818,-0.0213413026528574,-0.0595722362262775,0.0117125785494471,-0.0839378253368638,-0.0261428451954542
6,31-Jan-1953,31-Dec-1977,300,0.000201323798474253,0.0722018293439513,0.0468982107854517,-0.074011113441518,-0.0159564500607375,0.0321132765047776,-0.00294272345107264,0.489288275041198,3.14761226082394,2.0444239696998,-0.909160380323789,-0.564747161463434,0.392303171619271,-0.104870696064988,0.0951388530853804,0.0734469762757834,0.00396109278467711,-0.112009655046454,-0.063310150672381,0.131319593389121,-0.0187980151728772,5.34370010769381e-05
7,31-Jan-1954,31-Dec-1976,276,0.000265075077929105,0.0789843842602995,0.0419277472044531,-0.11027772175423,-0.0126671732069308,0.066089801039113,0.00958144567512895,0.680321266957448,3.73455820413175,1.98462390104549,-1.49268231163835,-0.484543292416333,0.890498396639983,0.368407770115339,0.125792404437708,0.102958623956603,0.00349916296561075,-0.142745094308635,-0.0796513514062605,0.17410338975966,-0.0489605853791674,0.00312181910256442
8,31-Jan-1954,31-Dec-1977,288,0.00026742089764276,0.0792721614926567,0.0431989686275012,-0.106526625843322,-0.0126709453569231,0.0624340844862555,0.0161967980796483,0.69178396789047,3.84845389452416,2.09714807978221,-1.48374646994504,-0.506797722690582,0.86450383591764,0.650897946191674,0.127880859202748,0.106077880682817,0.00344868635809793,-0.144922886951577,-0.082163943893311,0.181368005439712,-0.0490271595161881,3.38635349836047e-05
