period,min_date,max_date,nobs,constant,EITB_{t-1},UITB_t,tstat_constant,tstat_EITB_{t-1},tstat_UITB_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12
1,1953-01-31,2019-12-31,268,0.0364215358027919,-1.98329899749375,-0.861084750377684,5.77612139236294,-3.37977877954957,-0.720572392090868,0.0465748413217848,0.0357404645186232,0.0624261075363233,0.326586930610483,-0.0218558602442982,-0.0385204929603934,-0.0163464433536042,-0.0403562715072209,0.0467946406018348
2,1953-01-31,1999-12-31,188,0.0489997532651141,-2.65828714301027,-5.45724276620796,6.65973670082091,-4.46108653292456,-3.05002785959515,0.149043263646079,0.135168969031612,0.0598319366634027,0.258832528422897,-0.070908821201019,-0.0737992450061072,-0.0154315953573076,0.0494130033327249,0.0595686519541864
3,2000-01-31,2019-12-31,80,0.0155441050902958,-0.64579883930478,2.58894678563359,0.774630577625043,-0.18201184678072,1.91350784636303,0.0461728866207765,0.00852181635580718,0.0608327811043985,0.365626669042322,0.13940666457864,0.0344340414800617,-0.00941478417150091,-0.146763638127575,0.0332167052347722
4,1953-01-31,2007-07-31,218,0.0412121437406795,-2.27533031474932,-4.77780053983606,5.86949492153044,-3.78380156716804,-3.35398025394441,0.118592440009608,0.106236259262079,0.0603237134517378,0.289704351530125,-0.0135420960721113,-0.0214577599356437,0.00434543324619527,0.0506249504704569,0.0373361312830059
5,1953-01-31,1977-12-31,100,0.0567782631747697,-4.80758847975926,-2.54483625119296,6.18419979734477,-5.79935186678168,-0.946128721692041,0.27083884201322,0.248052555826133,0.057057521033137,0.31421630879138,-0.0984413188498739,-0.166393227168011,0.0321631100293871,-0.0148223788752062,0.0700712242137163
6,1954-01-31,1976-12-31,92,0.0589618736492986,-4.85476820261107,-2.73939769504996,6.1192902599699,-5.59938080244257,-0.925399923989718,0.274223605255206,0.249481228161634,0.0582149735570218,0.314459713323038,-0.101480926433622,-0.148931937956118,0.0469076356318667,0.00832514697937476,0.0974074475267152
7,1954-01-31,1977-12-31,96,0.0591768590817524,-4.92997759816594,-2.60789496959309,6.24931311466881,-5.89093019858095,-0.904199150412095,0.284274719050992,0.260935851193959,0.0572193864312071,0.301467369290848,-0.0937150867142188,-0.149753428178513,0.0449631992859549,-0.00261892314444933,0.0804103039255521
