min_date,max_date,X_t,Y_t+tau,tau=-1,tau=0,tau=+1
1999-12-31,2019-12-31,I,DRGNP,0.0415575118611402,0.096619086345637,-0.0444730000172583
1999-12-31,2019-12-31,I,DPR,0.0428249636285521,-0.0544463409971633,-0.0315137747434365
1999-12-31,2019-12-31,I,DCX/NS,-0.011716334236895,0.0413195922105102,-0.129404560273272
1999-12-31,2019-12-31,I,DROC,-0.0218794617713667,0.0866117013648461,0.093716347088326
1999-12-31,2019-12-31,EITB,DRGNP,-0.0201040088418979,0.0101588712058164,0.0376560020057711
1999-12-31,2019-12-31,EITB,DPR,0.0809999272652993,0.0291514722886427,-0.027359787835661
1999-12-31,2019-12-31,EITB,DCX/NS,0.0312472221110973,-0.0406568744581412,-0.019099173457782
1999-12-31,2019-12-31,EITB,DROC,-0.150102602253073,0.00132789739650497,0.103254443705001
1999-12-31,2019-12-31,BG,DRGNP,-0.03764353793496,0.0785732891356225,0.0335605899143516
1999-12-31,2019-12-31,BG,DPR,0.00561661842908882,-0.0601723603292758,-0.0125919951241444
1999-12-31,2019-12-31,BG,DCX/NS,-0.043282397212021,-0.00803929779815217,-0.0388902991226264
1999-12-31,2019-12-31,BG,DROC,0.0704459027458803,0.0326475733203537,-0.0318241378504737
1999-12-31,2008-09-30,I,DRGNP,0.0543724972096484,0.0700547259505569,-0.124102058422022
1999-12-31,2008-09-30,I,DPR,0.0338037066337722,-0.153165679846413,-0.117150376288487
1999-12-31,2008-09-30,I,DCX/NS,0.0289322959290821,-0.0156055415820702,-0.112017834970793
1999-12-31,2008-09-30,I,DROC,-0.0435969566197464,0.0588784961336465,0.0931384207173751
1999-12-31,2008-09-30,EITB,DRGNP,0.0258471252438734,-0.00330227066708764,-0.00615252166375884
1999-12-31,2008-09-30,EITB,DPR,0.0518006760154102,-0.0116014460687723,-0.130997299716168
1999-12-31,2008-09-30,EITB,DCX/NS,0.0609583810136701,-0.0140752951027062,-0.067528068246947
1999-12-31,2008-09-30,EITB,DROC,-0.204746150391813,-0.0187756948002586,0.0817229462264642
1999-12-31,2008-09-30,BG,DRGNP,-0.0259638943276606,0.149242886416827,-0.0720522000887585
1999-12-31,2008-09-30,BG,DPR,0.011434612862568,-0.024174730910818,-0.0845548686579419
1999-12-31,2008-09-30,BG,DCX/NS,0.0495883559743167,-0.0605980343212367,-0.0609501301830125
1999-12-31,2008-09-30,BG,DROC,0.0682202712536943,0.105223369900023,-0.0501653687940961
2008-10-31,2019-12-31,I,DRGNP,0.0311612164455578,0.133825249421387,0.0486902412162063
2008-10-31,2019-12-31,I,DPR,0.0520043019147402,0.0865988068553821,0.103897593765661
2008-10-31,2019-12-31,I,DCX/NS,-0.0483479755265233,0.117505760373542,-0.153397819391737
2008-10-31,2019-12-31,I,DROC,0.00290405964849626,0.124942383393276,0.0821115234443277
2008-10-31,2019-12-31,EITB,DRGNP,-0.0767143646323898,0.0274793809778113,0.0960448712828768
2008-10-31,2019-12-31,EITB,DPR,0.122891248050712,0.0923450019986245,0.144807007723966
2008-10-31,2019-12-31,EITB,DCX/NS,0.0096159367732422,-0.0685234076267575,0.0419476439421645
2008-10-31,2019-12-31,EITB,DROC,-0.0631006130429913,0.0262766579561965,0.130419284474193
2008-10-31,2019-12-31,BG,DRGNP,-0.0485948191246472,0.0123912109197687,0.133638956057614
2008-10-31,2019-12-31,BG,DPR,-0.00132843424368785,-0.10096796980974,0.0745046644058485
2008-10-31,2019-12-31,BG,DCX/NS,-0.129228751001628,0.040049698147919,-0.019663153571358
2008-10-31,2019-12-31,BG,DROC,0.0734640702813305,-0.0689757600800446,-0.00853015088152
