period,min_date,max_date,nobs,constant,DRGNP_{t+12},EIAR_{t-1},UIAR_t,tstat_constant,tstat_DRGNP_{t+12},tstat_EIAR_{t-1},tstat_UIAR_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4
1,1999-12-31,2019-12-31,21,-6.65521959780662,6.25991046075035,3.6453456535268,-25.0460591109921,-3.59541084314103,3.62640273238382,0.848078293892577,-1.30192937426392,0.447860770025248,0.30982596253156,0.183168933451332,-0.396666999758134,0.0787422822419783,-0.187327480479433,0.212904125794577
2,1999-12-31,2008-09-30,9,-9.41393418175538,8.73163370732212,8.18726036464852,-46.6378322229996,-3.71932974556953,3.72169993904339,1.5710681943952,-2.08811696438011,0.775055932336364,0.550111864672728,0.167003431266502,-0.796042642752476,0.568717661235008,-0.447405000427414,0.436550988617215
3,2008-10-31,2019-12-31,12,-3.89081026394291,3.84651080808011,-0.627241381415376,4.99958080697341,-1.12198895790689,1.15005971398945,-0.0660934963914991,0.142709813926053,0.204716735532714,-0.249730844162878,0.20253215600606,-0.0739770490541035,-0.580370697399131,-0.247181570430874,0.189703616978052
4,2001-12-31,2019-12-31,19,-6.82516868262144,6.43425255077063,3.08519628622344,-24.4785911085857,-3.25973533436572,3.2687353565708,0.604814617815767,-1.14047461768367,0.42047878897843,0.254901300115124,0.194570207756798,-0.393114590726611,0.0849491126839668,-0.222875874238673,0.208071310888003
5,2001-12-31,2008-09-30,7,-9.79419397314831,9.08069588482453,7.9737831946787,-50.5620818894245,-2.9888875559244,2.97782579397867,1.11628115327983,-1.67547207811059,0.77091711214638,0.31275133643914,0.207827954786901,-0.808164931815412,0.667735856183237,-0.86642044732129,0.563963273279451
6,2008-10-31,2019-12-31,12,-3.89081026394291,3.84651080808011,-0.627241381415376,4.99958080697341,-1.12198895790689,1.15005971398945,-0.0660934963914991,0.142709813926053,0.204716735532714,-0.249730844162878,0.20253215600606,-0.0739770490541035,-0.580370697399131,-0.247181570430874,0.189703616978052
