period,min_date,max_date,nobs,constant,DRGNP_{t+12},EIAR_{t-1},UIAR_t,tstat_constant,tstat_DRGNP_{t+12},tstat_EIAR_{t-1},tstat_UIAR_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12
1,1999-12-31,2019-12-31,81,-0.968128486460038,0.980335580295182,-3.22481838259183,5.46513897161233,-2.93667037820478,3.10284850778032,-1.70817949570881,1.73671542287042,0.156263635052756,0.111856457950269,0.0886619474983104,-0.0414729729354814,0.0372325546679468,-0.105741626109568,-0.0340489276937681,0.0357799639024317,-0.15154723144663
2,1999-12-31,2008-09-30,36,-1.83029677579175,1.81193283767008,-2.83564208786498,5.09118493143425,-2.99636764599118,3.12738119189951,-0.958228435067011,1.06844527525331,0.329343051044901,0.242806670534566,0.105338882064373,-0.215285572352952,0.213798439457033,-0.282436787143473,-0.000430692627182023,0.173764005446474,-0.299523597712657
3,2008-10-31,2019-12-31,45,0.127770923280511,-0.116686213710878,2.62769737668732,2.93713173606749,0.366981353601823,-0.342362191690727,0.998132049190162,0.777137007016396,0.097193451477756,0.00691279662553157,0.0643045666318716,0.255106482821213,0.146233853491479,0.215641811119848,0.0361386860929577,-0.179327065993699,-0.38669239028583
4,2001-12-31,2019-12-31,73,-0.724358579952357,0.757608315141678,-4.60266172891552,6.60410996104253,-2.222920983693,2.43835466132759,-2.57967825861384,2.15872707291246,0.183386047834694,0.135349933001441,0.0810356072180093,0.04644782408434,-0.038752763672692,0.00236284783787811,-0.0110067201540767,0.0328275736374139,-0.014106538812277
5,2001-12-31,2008-09-30,28,-1.30619807397458,1.33037525781217,-5.47129520894434,6.46896792663956,-1.82889443569133,1.99018387828288,-1.73477722132678,1.29957868609445,0.41196951511523,0.309703343830922,0.0948263272064299,-0.107126029597483,0.0811837580518084,-0.108274057744819,0.0225379885522681,0.213689699216269,-0.020266684020902
6,2008-10-31,2019-12-31,45,0.127770923280511,-0.116686213710878,2.62769737668732,2.93713173606749,0.366981353601823,-0.342362191690727,0.998132049190162,0.777137007016396,0.097193451477756,0.00691279662553157,0.0643045666318716,0.255106482821213,0.146233853491479,0.215641811119848,0.0361386860929577,-0.179327065993699,-0.38669239028583
