period,min_date,max_date,nobs,constant,DPR_t,DPR_{t-1},EITB_{t-1},UITB_t,EITB_{t-2},UITB_{t-1},tstat_constant,tstat_DPR_t,tstat_DPR_{t-1},tstat_EITB_{t-1},tstat_UITB_t,tstat_EITB_{t-2},tstat_UITB_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
4,2001-12-31,2019-12-31,19,-0.02538165726021,-2.41970682421484,-2.64469965726242,0.329078845763693,-1.84648154204454,0.329619424597321,0.0915078604902962,-1.38067419805601,-1.63813634224224,-2.16051767430291,1.47786209088885,-1.74066515416255,1.5275753080426,0.0865633373830384,0.712411681175721,0.529400932832997,0.00776360333907172,0.0846828878695269,0.234167061974209,-0.364130950908518,-0.237083723909337,-0.472402458815224
5,2001-12-31,2008-09-30,7,-0.0963648625318711,-2.50073146471915,-2.8833558578185,0.246229852434312,-3.6877265868609,1.25246516815644,-6.62960495302381,-0,-0,-0,0,-0,0,-0,1,1,Inf,0.200298186200538,-0.942871328705415,-0.514495755427526,0.693375245281536,-1
6,2008-10-31,2019-12-31,12,-0.00453474432514812,-0.791201447137069,-3.50116538538092,0.555985280333389,-0.995402166028228,-0.27313945433863,1.25739188170951,-0.160782615341613,-0.335580125677361,-1.78447516138997,1.23899350014341,-0.559254990388432,-0.724331224974015,0.899207460713756,0.728258942615809,0.252712092193475,0.00754782794915964,-0.00507542295707266,-0.0124062583520606,-0.206451086583134,0.120953010747537,-0.327962528672172
