period,min_date,max_date,nobs,constant,DPR_t,DPR_{t-1},EITB_{t-1},UITB_t,EITB_{t-2},UITB_{t-1},tstat_constant,tstat_DPR_t,tstat_DPR_{t-1},tstat_EITB_{t-1},tstat_UITB_t,tstat_EITB_{t-2},tstat_UITB_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
1,1999-12-31,2019-12-31,241,-8.63982188368387e-05,0.0798055413227254,-0.0536294454413214,-0.567729531699099,-0.173466835717063,0.561425989327358,0.0236261609629283,-0.167134410605704,0.931090455767833,-0.625177264509387,-3.01689575686762,-1.1213472460005,2.55185852360065,0.158444660698598,0.0492631342866807,0.0207002241579544,0.00380221527466585,-0.00125489379600734,0.0119367095762499,0.0108224313232955,-0.0131918582625886,-0.0173036103492348
2,1999-12-31,2008-09-30,106,0.000420582493505841,0.0883179388834966,-0.0893525054360081,-0.716677945608404,-0.141422929889867,0.619954212388024,0.0270243472883814,0.485499462430992,0.607739330955832,-0.609932199997783,-2.51041024163848,-0.600440295503234,1.86798092664931,0.116261416978241,0.0700812134935263,0.00365844302877805,0.00453932887304472,0.00539100538747625,0.0144010311693978,0.000567161188965046,-0.00935798301114261,-0.0550137515931526
3,2008-10-31,2019-12-31,135,-0.000551404008635535,0.0650249221086039,-0.0210838293809494,-0.331690647475314,-0.215546793776728,0.472750559054807,0.0288954145264957,-0.834583687628769,0.622408379692348,-0.205468182770597,-1.27180021099738,-1.01428180093619,1.53473099718443,0.143419215970515,0.0314713180691634,-0.0219121525884418,0.00320401628054089,-0.019484709360941,-0.012793109182554,-0.013871645612536,-0.0349921317109876,-0.00573346189723561
