period,min_date,max_date,nobs,constant,BG,DPR,DPR+12,t_stat_constant,t_stat_BG,t_stat_DPR,t_stat_DPR+12,R_sq,R_sq_adj,s(eta),rho_1,rho_2,rho_3,rho_4,rho_8,rho_12,current_time
1,1996-03-31,2019-12-31,275,0.00195171363631945,0.00721823507088786,-0.0229235676550632,-0.0128737283457215,2.56260255802699,2.66384978700237,-1.73060629764904,-1.11383226820137,0.0481779176865896,0.034076849800465,0.00396718585795478,0.363192627712698,0.0696505995605487,0.0123745098637314,0.0871457626995473,0.0443335044428209,-0.115106613153002,08-Jan-2024 19:03:55
2,1996-03-31,2008-12-31,143,0.00233349035000651,0.0103434981313565,-0.0309840319635207,-0.0113052159086715,1.98737257074866,2.63884918088163,-1.49937293054735,-0.681398924721561,0.0774622274703762,0.0507220021796624,0.00475024112254304,0.372662834924516,0.0223278267287836,-0.0468833433724281,0.00994741702425245,0.0342664004471165,-0.19285179614057,08-Jan-2024 19:03:55
3,2009-01-31,2019-12-31,132,0.00208574437482471,-0.00457848326535427,-0.0259357470020938,0.00509093049546279,2.4605905902636,-1.27774826305944,-1.8039317605547,0.340235350278018,0.0295529722784282,-0.00101228843721191,0.00268777870159943,0.231486320230719,0.0013933307135162,0.0297059045253704,0.159825032022698,0.0547629384417766,0.0989775551494172,08-Jan-2024 19:03:55
