period,min_date,max_date,nobs,constant,DROC_t,DPR_{t-1},tstat_constant,tstat_DROC_t,tstat_DPR_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
4,2001-12-31,2019-12-31,19,-4.43140604931075e-05,-0.030446680273108,0.000347434078938398,-0.0560805729298378,-0.898555002332997,0.0151028978682216,0.0665900188223878,-0.120091977413135,0.00144200908626672,-0.265021676552219,-0.0633537072209737,-0.0402379162892275,-0.115219305360044,0.0330359726845073
5,2001-12-31,2008-09-30,7,-0.00038680674467369,-0.0271939354216965,-0.00219896830860473,-0.29801313654094,-0.495684767576692,-0.0652689841193884,0.0649594944083937,-0.870081011183213,0.00185315475739194,-0.434029747892223,0.274591317910003,-0.11747459454866,-0.726378737179158,1
6,2008-10-31,2019-12-31,12,-0.000254022352244445,-0.0175670791468303,0.0152621548679835,-0.171677654261975,-0.299423374845694,0.325852176709541,0.0640387296804625,-0.286946746689364,0.00138844417172614,-0.216344017360552,-0.0822411293888309,0.0675579616033886,-0.376348464949155,-0.0698043856592173
