period,min_date,max_date,nobs,constant,DRGNP_t,DRGNP_{t+12},UIPF_t,tstat_constant,tstat_DRGNP_t,tstat_DRGNP_{t+12},tstat_UIPF_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4
1,1999-12-31,2019-12-31,21,-5.88504876961808,-0.200570389794923,5.74485700974413,2.41546937249013,-3.24958745156947,-0.11485879938117,3.30074671493661,0.573618626529321,0.400635566947909,0.250794458684886,0.190841577567537,-0.500490293822314,0.195390556808232,-0.388858488940787,0.31999051397395
2,1999-12-31,2008-09-30,9,-6.59359503000135,4.13552266514433,6.28325724563202,-1.69922850781289,-2.3168573026654,1.02893376852875,2.23327357057553,-0.263101592647585,0.658882404250824,0.317764808501647,0.20565543111699,-0.68577100030971,0.710330494230056,-0.624053679486035,0.654844836295599
3,2008-10-31,2019-12-31,12,-2.50280635385771,-4.58036239161519,2.60168339891253,-6.36294627259975,-0.930244798817349,-1.59895548579081,1.01505634949774,-0.542390492559421,0.424400422194846,0.095486377734758,0.172303181878319,-0.00996418215931903,-0.529075970973178,-0.326890298660233,0.401137677024046
4,2001-12-31,2019-12-31,19,-5.7552397196136,-0.411545455701679,5.62620384269319,2.98541029223583,-2.76264289300957,-0.218481306765658,2.8209026965194,0.627776774957918,0.380412221808548,0.203387142325276,0.201183841140093,-0.503473157729412,0.251857603214396,-0.483632741182455,0.392080563819095
5,2001-12-31,2008-09-30,7,-6.98347218571871,4.85950110583871,6.62305508257681,-3.17282078476444,-1.77395764243747,0.803731217070941,1.71388046314863,-0.321554770376915,0.639969202420432,-0.0800923927387034,0.260541833725565,-0.709976395944479,0.857745291205942,-0.878818901694671,0.792890991534098
6,2008-10-31,2019-12-31,12,-2.50280635385771,-4.58036239161519,2.60168339891253,-6.36294627259975,-0.930244798817349,-1.59895548579081,1.01505634949774,-0.542390492559421,0.424400422194846,0.095486377734758,0.172303181878319,-0.00996418215931903,-0.529075970973178,-0.326890298660233,0.401137677024046
