min_date,max_date,Variable (x),rho_1,rho_2,rho_3,rho_4,rho_5,mean,std
1999-12-31,2019-12-31,I_t,0.414993116773243,0.244398109792115,-0.0177031123902491,-0.07383114013598,-0.0293417201485774,0.00358214738126499,0.00701794035410367
1999-12-31,2019-12-31,BG_t,-0.399087604660842,-0.134770680469297,0.268007559922669,-0.154179853457315,-0.00178762838423492,0.024604321775864,0.0646028695448169
1999-12-31,2019-12-31,CX_NS_t,0.711355463487503,0.627208187871663,0.550279240643011,0.482433507485178,0.24172307449782,0.0393324788762105,0.00354214273471613
1999-12-31,2019-12-31,ROC_t,0.625345093929075,0.46470516109227,0.380112601798726,0.602795107905427,0.357899210971609,0.563939445488925,0.0153622014956792
1999-12-31,2019-12-31,dCX_NS_t,-0.359518919562808,-0.0420952054673556,-0.0507784308462038,0.273043610507519,-0.138806798386279,-0.000129679640387717,0.00265231494058028
1999-12-31,2019-12-31,dROC_t,-0.287304902943844,-0.101674624264512,-0.399050808234332,0.599164234701157,-0.202639431025152,0.000112130824555308,0.013295465164486
1999-12-31,2019-12-31,dRGNP_t,-0.358631145379247,0.0546001405131502,-0.212563709157375,0.282228406387252,-0.0454221035869374,0.00978292308418142,0.0213704629460654
1999-12-31,2019-12-31,dPR_t,0.158084747417405,0.0280965437472431,-0.143608742032207,-0.0392578578873749,-0.0960268773559799,0.00783631680017139,0.00845569525606558
1999-12-31,2019-12-31,RS_t,0.12345103234181,0.0291184706423947,0.00984758419836755,-0.154420487062932,-0.0829649944066103,0.00698626478034972,0.0948907281341052
1999-12-31,2008-09-30,I_t,0.482294842127797,0.27657948314046,-0.0848937864561991,-0.342132410046411,-0.380208621708482,0.00464361557014905,0.00847333738076534
1999-12-31,2008-09-30,BG_t,-0.331083300024385,-0.271397808437476,0.487494502111342,-0.16511428808624,-0.13785237398648,0.0261305748207553,0.0633464243601848
1999-12-31,2008-09-30,CX_NS_t,0.821050839281215,0.805150703765168,0.675076153608115,0.56170414051498,0.411446761305286,0.0402586973784646,0.00427189617706089
1999-12-31,2008-09-30,ROC_t,0.703629474993418,0.497354143673414,0.34966638684471,0.399497671846098,0.303396854889662,0.562223397931408,0.0152767413232089
1999-12-31,2008-09-30,dCX_NS_t,-0.46270217514038,0.282879251473605,-0.102732972924221,0.0444362455721137,-0.0620136803920271,-0.000248715899807991,0.00251614850787684
1999-12-31,2008-09-30,dROC_t,-0.159446496868549,-0.113374097860364,-0.316400211256123,0.244041163366225,-0.0136895716012611,0.000121902412023278,0.0117616023767756
1999-12-31,2008-09-30,dRGNP_t,-0.422498749172318,0.230425077105936,-0.147618672413385,-0.0408947318174676,0.118997477889932,0.00980707111556683,0.0213494603545462
1999-12-31,2008-09-30,dPR_t,0.0984236592272565,0.200816681658959,-0.301431297843405,0.0784271671823091,0.0027938399120906,0.00753585919560705,0.00991069098600818
1999-12-31,2008-09-30,RS_t,0.198399324778598,0.263536308427094,0.0772585365919917,-0.0781448225495567,-0.0433524126948514,0.00401192282705649,0.115888450827089
2008-10-31,2019-12-31,I_t,0.258922792370083,0.178192505196928,0.0394370220291851,0.244515207477625,0.414879082853294,0.00273297283015775,0.00554772108948038
2008-10-31,2019-12-31,BG_t,-0.499406094555772,-0.0534975492610064,0.148953324275153,-0.141534221566177,0.101333152204575,0.0233833193399509,0.06627843819272
2008-10-31,2019-12-31,CX_NS_t,0.454844871150983,0.24298720646344,0.291813731282951,0.402349830440251,0.060007030776318,0.0385915040744073,0.00265189875724041
2008-10-31,2019-12-31,ROC_t,0.557731334833292,0.436830512537317,0.428509471441461,0.870982273813058,0.479666880528601,0.565312283534939,0.0154630759664211
2008-10-31,2019-12-31,dCX_NS_t,-0.291328280626051,-0.270619464227821,-0.0503622926756659,0.431096619903504,-0.221911998898002,-3.4450632851498e-05,0.00278093613836964
2008-10-31,2019-12-31,dROC_t,-0.357536292089312,-0.103901396837803,-0.458538704674022,0.826647235768795,-0.279695226863109,0.000104313554580932,0.0145382021533071
2008-10-31,2019-12-31,dRGNP_t,-0.282879681752802,-0.0918134785169294,-0.303570831192039,0.512047050877742,-0.243155538828506,0.0097636046590731,0.0216284304297575
2008-10-31,2019-12-31,dPR_t,-0.183429129174335,-0.297073965720751,0.217089989228917,-0.132270379712652,-0.148810100827019,0.00807668288382285,0.0071926255197065
2008-10-31,2019-12-31,RS_t,0.170338677072044,0.0591776582141756,0.229946165222682,-0.060816454047222,0.277412541000792,0.00936573834298431,0.0753344210572681
