period,min_date,max_date,nobs,constant,DROC_t,DROC_{t-1},DPR_t,DPR_{t-1},tstat_constant,tstat_DROC_t,tstat_DROC_{t-1},tstat_DPR_t,tstat_DPR_{t-1},R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4,rho_5
4,2001-12-31,2019-12-31,19,-0.00126078030625692,-0.0202160812721234,0.00345674551157615,0.0329249092656574,0.00538182466050529,-1.05013850786829,-0.579307608761672,0.121726252133459,1.3533836003279,0.229446785841563,0.174607921668538,-0.142850569997409,0.0014496324374087,-0.297959727714436,0.284631432026418,-0.177294152309751,-0.00809397980256637,-0.107424522443654
5,2001-12-31,2008-09-30,7,-0.00201012288427457,-0.0275599051576952,-0.0262755483642258,0.0416858041592217,0.00454857542250228,-0.841446381450241,-0.453052634589076,-0.408861764583328,0.724243189713227,0.119499866130946,0.450404802337851,-2.29757118597289,0.00200924519744145,-0.564393863606748,0.23437760251483,-0.565271057075265,0.97919759391822,-1
6,2008-10-31,2019-12-31,12,-0.003120213713042,0.0791412179629025,0.0941933737963101,0.0343671822612803,0.0830447224892112,-1.59776017724964,1.28722625377268,2.67690986658774,1.10226274117638,1.89014273222144,0.581974640985942,0.233620175140894,0.00105213878834017,-0.336430397541204,0.241819829535736,-0.30051204092706,-0.19655324037441,-0.0691064555070093
