period,min_date,max_date,nobs,constant,EIPF_t,UIPF_t,tstat_constant,tstat_EIPF_t,tstat_UIPF_t,R_sq,R_sq-adj,s(epsilon),rho_1,rho_2,rho_3,rho_4
1,1999-12-31,2019-12-31,21,0.0162777921565572,4.00818083783358,6.36277836024168,NaN,NaN,NaN,0.0954581164108376,-0.0641669218696028,NaN,NaN,NaN,NaN,NaN
2,1999-12-31,2008-09-30,9,0.0171214894242619,3.24611830795669,3.77231742199085,NaN,NaN,NaN,0.0501047031909881,-0.519832474894419,NaN,NaN,NaN,NaN,NaN
3,2008-10-31,2019-12-31,12,0.00612366824298546,7.95085351868079,18.7274490744403,0.0736534511048946,1.55653588046672,1.84718191363968,0.299212039149762,0.0364165538309231,0.179246266715964,0.0901765671808047,-0.756466551225541,-0.119515545890483,0.335713750799108
4,2001-12-31,2019-12-31,19,0.0162777921565572,4.00818083783358,6.36277836024168,0.19091010457165,0.985840991723418,1.10314385804827,0.0954581164108376,-0.0854502603069949,0.235364876337237,-0.343285147179334,-0.0418142349481733,-0.165531172657624,0.16124426029558
5,2001-12-31,2008-09-30,7,0.0171214894242619,3.24611830795669,3.77231742199085,0.0759030423257418,0.367048693196567,0.359482664873907,0.0501047031909881,-0.899790593618024,0.366501823294763,-0.203467552242114,0.493530463143297,-0.818610481385797,0.0617075787243444
6,2008-10-31,2019-12-31,12,0.00612366824298546,7.95085351868079,18.7274490744403,0.0736534511048946,1.55653588046672,1.84718191363968,0.299212039149762,0.0364165538309231,0.179246266715964,0.0901765671808047,-0.756466551225541,-0.119515545890483,0.335713750799108
