min_date,max_date,X_t,Y_t+tau,tau=-1,tau=0,tau=+1
2001-12-31,2019-12-31,I,DRGNP,-0.0775809821768948,0.0722862553315718,-0.0945277331489254
2001-12-31,2019-12-31,I,DPR,0.0110351530550065,0.0477686910207319,-0.0555019556496453
2001-12-31,2019-12-31,I,DCX/NS,0.0298095839357362,0.0506016666030862,-0.150055499784715
2001-12-31,2019-12-31,I,DROC,0.126533719194473,0.0938600370994677,0.0953958525777441
2001-12-31,2019-12-31,EIAR,DRGNP,-0.032037623521859,0.116996962584509,-0.20148205998163
2001-12-31,2019-12-31,EIAR,DPR,0.0680295448616942,-0.140375890969463,-0.133122794954067
2001-12-31,2019-12-31,EIAR,DCX/NS,0.108605221471081,-0.144116433477991,-0.101223158317345
2001-12-31,2019-12-31,EIAR,DROC,0.0670649589539699,0.248309579371117,0.0522799346117034
2001-12-31,2019-12-31,BG,DRGNP,-0.00219337308838654,0.0732364331344058,-0.0131490955100347
2001-12-31,2019-12-31,BG,DPR,0.0597900328388798,-0.236630956493122,-0.145400534035878
2001-12-31,2019-12-31,BG,DCX/NS,-0.00606015192819007,0.00751577042099826,0.0897189170794571
2001-12-31,2019-12-31,BG,DROC,-0.211216059701054,0.0704326950171826,0.0975438529560169
2001-12-31,2008-09-30,I,DRGNP,-0.141231865394677,0.0916133717735997,-0.213098792113626
2001-12-31,2008-09-30,I,DPR,0.0321277083196898,-0.101608969204114,-0.228941723510749
2001-12-31,2008-09-30,I,DCX/NS,0.0647296967908665,0.00979074766873395,-0.156994335458383
2001-12-31,2008-09-30,I,DROC,-0.028119065334418,0.170903084658331,0.212527148723651
2001-12-31,2008-09-30,EIAR,DRGNP,-0.00721703603362623,-0.0489270319120271,-0.118961445146822
2001-12-31,2008-09-30,EIAR,DPR,0.129432357184114,-0.227226866760192,-0.203414038146135
2001-12-31,2008-09-30,EIAR,DCX/NS,0.132308441846632,-0.134079148473605,-0.11479342428498
2001-12-31,2008-09-30,EIAR,DROC,-0.0381159672060374,0.247034033600176,0.379910566391668
2001-12-31,2008-09-30,BG,DRGNP,-0.0687522728934676,0.211452037108666,-0.0432851098332338
2001-12-31,2008-09-30,BG,DPR,-0.00319822445142518,-0.303305698302481,-0.0881893928050703
2001-12-31,2008-09-30,BG,DCX/NS,0.0678187695115854,0.289487432643979,-0.0651065406873953
2001-12-31,2008-09-30,BG,DROC,-0.318828124961858,-0.0458493164188867,0.453942786411083
2008-10-31,2019-12-31,I,DRGNP,-0.00902330282365131,0.057006338278783,0.0167259245384855
2008-10-31,2019-12-31,I,DPR,-0.0406546819312284,0.250523652027038,0.160921918747525
2008-10-31,2019-12-31,I,DCX/NS,0.0241757014037677,0.116880018996703,-0.154743192178061
2008-10-31,2019-12-31,I,DROC,0.283397495758496,0.0394560733853205,0.00201265411242564
2008-10-31,2019-12-31,EIAR,DRGNP,-0.0524305126348062,0.257744368651823,-0.274386744979068
2008-10-31,2019-12-31,EIAR,DPR,0.0159068323161281,0.131644035158053,0.186445268698187
2008-10-31,2019-12-31,EIAR,DCX/NS,0.0649682091679168,-0.10208189926395,-0.0747758833865815
2008-10-31,2019-12-31,EIAR,DROC,0.200366209455205,0.236389970140682,-0.264635726987867
2008-10-31,2019-12-31,BG,DRGNP,0.0272057170992625,0.0123826514256742,-0.000208273323775275
2008-10-31,2019-12-31,BG,DPR,0.0907682010493904,-0.214753911727997,-0.177468311042012
2008-10-31,2019-12-31,BG,DCX/NS,-0.0395410052193238,-0.111435979521533,0.153515477476709
2008-10-31,2019-12-31,BG,DROC,-0.172437569360419,0.111240408375086,-0.0099657074008633
